"Label (Grouping)","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Below poverty level!!Estimate","Anderson County, Tennessee!!Below poverty level!!Margin of Error","Anderson County, Tennessee!!Percent below poverty level!!Estimate","Anderson County, Tennessee!!Percent below poverty level!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Below poverty level!!Estimate","Blount County, Tennessee!!Below poverty level!!Margin of Error","Blount County, Tennessee!!Percent below poverty level!!Estimate","Blount County, Tennessee!!Percent below poverty level!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Below poverty level!!Estimate","Bradley County, Tennessee!!Below poverty level!!Margin of Error","Bradley County, Tennessee!!Percent below poverty level!!Estimate","Bradley County, Tennessee!!Percent below poverty level!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Below poverty level!!Estimate","Davidson County, Tennessee!!Below poverty level!!Margin of Error","Davidson County, Tennessee!!Percent below poverty level!!Estimate","Davidson County, Tennessee!!Percent below poverty level!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Below poverty level!!Estimate","Greene County, Tennessee!!Below poverty level!!Margin of Error","Greene County, Tennessee!!Percent below poverty level!!Estimate","Greene County, Tennessee!!Percent below poverty level!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Below poverty level!!Estimate","Hamilton County, Tennessee!!Below poverty level!!Margin of Error","Hamilton County, Tennessee!!Percent below poverty level!!Estimate","Hamilton County, Tennessee!!Percent below poverty level!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Below poverty level!!Estimate","Knox County, Tennessee!!Below poverty level!!Margin of Error","Knox County, Tennessee!!Percent below poverty level!!Estimate","Knox County, Tennessee!!Percent below poverty level!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Below poverty level!!Estimate","Madison County, Tennessee!!Below poverty level!!Margin of Error","Madison County, Tennessee!!Percent below poverty level!!Estimate","Madison County, Tennessee!!Percent below poverty level!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Below poverty level!!Estimate","Maury County, Tennessee!!Below poverty level!!Margin of Error","Maury County, Tennessee!!Percent below poverty level!!Estimate","Maury County, Tennessee!!Percent below poverty level!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Below poverty level!!Estimate","Montgomery County, Tennessee!!Below poverty level!!Margin of Error","Montgomery County, Tennessee!!Percent below poverty level!!Estimate","Montgomery County, Tennessee!!Percent below poverty level!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Below poverty level!!Estimate","Putnam County, Tennessee!!Below poverty level!!Margin of Error","Putnam County, Tennessee!!Percent below poverty level!!Estimate","Putnam County, Tennessee!!Percent below poverty level!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Below poverty level!!Estimate","Robertson County, Tennessee!!Below poverty level!!Margin of Error","Robertson County, Tennessee!!Percent below poverty level!!Estimate","Robertson County, Tennessee!!Percent below poverty level!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Below poverty level!!Estimate","Rutherford County, Tennessee!!Below poverty level!!Margin of Error","Rutherford County, Tennessee!!Percent below poverty level!!Estimate","Rutherford County, Tennessee!!Percent below poverty level!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Below poverty level!!Estimate","Sevier County, Tennessee!!Below poverty level!!Margin of Error","Sevier County, Tennessee!!Percent below poverty level!!Estimate","Sevier County, Tennessee!!Percent below poverty level!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Below poverty level!!Estimate","Shelby County, Tennessee!!Below poverty level!!Margin of Error","Shelby County, Tennessee!!Percent below poverty level!!Estimate","Shelby County, Tennessee!!Percent below poverty level!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Below poverty level!!Estimate","Sullivan County, Tennessee!!Below poverty level!!Margin of Error","Sullivan County, Tennessee!!Percent below poverty level!!Estimate","Sullivan County, Tennessee!!Percent below poverty level!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Below poverty level!!Estimate","Sumner County, Tennessee!!Below poverty level!!Margin of Error","Sumner County, Tennessee!!Percent below poverty level!!Estimate","Sumner County, Tennessee!!Percent below poverty level!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Below poverty level!!Estimate","Washington County, Tennessee!!Below poverty level!!Margin of Error","Washington County, Tennessee!!Percent below poverty level!!Estimate","Washington County, Tennessee!!Percent below poverty level!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Below poverty level!!Estimate","Williamson County, Tennessee!!Below poverty level!!Margin of Error","Williamson County, Tennessee!!Percent below poverty level!!Estimate","Williamson County, Tennessee!!Percent below poverty level!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Below poverty level!!Estimate","Wilson County, Tennessee!!Below poverty level!!Margin of Error","Wilson County, Tennessee!!Percent below poverty level!!Estimate","Wilson County, Tennessee!!Percent below poverty level!!Margin of Error"
"        65 years and over","15,599","±475","1,755","±664","11.3%","±4.2","28,373","±411","1,639","±584","5.8%","±2.0","18,694","±406","1,665","±708","8.9%","±3.8","90,990","±930","9,134","±2,020","10.0%","±2.2","15,450","±371","1,519","±633","9.8%","±4.1","65,252","±941","6,655","±1,481","10.2%","±2.3","77,545","±917","6,542","±1,220","8.4%","±1.6","16,831","±326","2,009","±643","11.9%","±3.9","17,082","±835","746","±579","4.4%","±3.4","21,533","±823","1,816","±783","8.4%","±3.7","13,631","±734","1,892","±960","13.9%","±7.0","11,453","±446","1,553","±918","13.6%","±8.0","38,740","±731","2,234","±896","5.8%","±2.3","19,802","±301","1,588","±779","8.0%","±3.9","132,136","±667","19,245","±2,987","14.6%","±2.3","35,040","±571","3,521","±877","10.0%","±2.5","32,543","±739","2,853","±924","8.8%","±2.8","24,717","±407","2,033","±754","8.2%","±3.1","36,237","±887","1,133","±549","3.1%","±1.5","24,095","±572","1,836","±868","7.6%","±3.6"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","37,651","±516","5,541","±1,586","14.7%","±4.2","65,856","±1,193","5,432","±1,515","8.2%","±2.3","52,680","±1,415","5,107","±1,836","9.7%","±3.4","329,208","±2,408","42,800","±5,343","13.0%","±1.6","34,172","±907","3,497","±1,171","10.2%","±3.4","174,501","±2,027","19,783","±3,463","11.3%","±2.0","232,054","±1,941","27,418","±3,623","11.8%","±1.6","43,972","±1,397","7,419","±1,732","16.9%","±4.1","49,471","±1,427","3,623","±1,392","7.3%","±2.9","111,263","±1,425","11,209","±3,081","10.1%","±2.8","38,414","±1,168","4,201","±1,382","10.9%","±3.6","36,520","±976","3,972","±1,305","10.9%","±3.5","172,152","±1,343","13,057","±2,794","7.6%","±1.6","48,870","±1,474","7,089","±2,111","14.5%","±4.4","429,392","±5,354","67,289","±7,105","15.7%","±1.6","76,855","±659","13,183","±2,586","17.2%","±3.4","97,694","±1,473","7,074","±1,934","7.2%","±2.0","63,877","±1,376","8,695","±2,093","13.6%","±3.3","124,687","±1,292","3,723","±1,195","3.0%","±1.0","74,624","±1,398","5,573","±2,062","7.5%","±2.7"
"        Female","38,314","±916","5,830","±1,606","15.2%","±4.2","69,859","±748","6,521","±1,648","9.3%","±2.4","54,181","±1,262","5,192","±1,432","9.6%","±2.6","353,035","±2,459","59,801","±5,150","16.9%","±1.4","34,293","±918","3,011","±927","8.8%","±2.7","184,245","±1,949","25,166","±3,197","13.7%","±1.7","242,273","±2,086","29,891","±3,725","12.3%","±1.5","50,875","±1,012","9,052","±1,641","17.8%","±3.1","53,906","±975","7,071","±2,115","13.1%","±3.9","112,734","±1,098","13,866","±3,501","12.3%","±3.1","39,235","±1,213","5,359","±1,697","13.7%","±4.3","36,929","±594","4,256","±1,473","11.5%","±4.0","173,897","±1,475","16,595","±3,704","9.5%","±2.1","48,821","±1,521","7,458","±2,488","15.3%","±5.0","479,295","±1,791","94,991","±8,609","19.8%","±1.8","80,375","±635","14,928","±2,228","18.6%","±2.8","101,262","±1,279","9,526","±2,415","9.4%","±2.4","65,362","±1,692","10,240","±1,669","15.7%","±2.6","129,651","±1,077","5,224","±1,593","4.0%","±1.2","74,477","±1,116","6,260","±1,912","8.4%","±2.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","67,134","±1,395","9,169","±2,194","13.7%","±3.2","121,959","±1,046","10,207","±2,489","8.4%","±2.0","92,234","±2,635","8,863","±2,940","9.6%","±3.1","387,668","±3,658","40,709","±5,566","10.5%","±1.4","63,620","±683","5,824","±1,595","9.2%","±2.5","251,777","±3,750","21,203","±3,919","8.4%","±1.5","384,684","±3,023","42,958","±4,523","11.2%","±1.2","51,721","±924","4,974","±1,650","9.6%","±3.2","83,493","±2,321","6,680","±2,425","8.0%","±2.9","140,992","±2,684","14,679","±4,111","10.4%","±2.9","68,921","±1,263","8,309","±2,446","12.1%","±3.5","60,490","±1,053","6,299","±2,368","10.4%","±3.9","235,810","±2,935","19,308","±4,562","8.2%","±1.9","85,298","±1,664","11,899","±3,562","13.9%","±4.1","315,011","±3,245","24,477","±3,980","7.8%","±1.3","145,741","±1,415","26,012","±3,725","17.8%","±2.5","163,441","±1,457","9,968","±2,210","6.1%","±1.3","113,456","±2,176","15,238","±3,170","13.4%","±2.8","211,222","±1,529","7,052","±2,376","3.3%","±1.1","123,327","±2,035","9,582","±3,023","7.8%","±2.5"
"        Black or African American alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","171,725","±4,748","35,088","±6,117","20.4%","±3.5","N","N","N","N","N","N","66,756","±1,815","16,175","±4,727","24.2%","±7.1","31,295","±3,173","5,469","±2,638","17.5%","±8.0","35,164","±1,155","9,943","±2,408","28.3%","±6.7","N","N","N","N","N","N","38,403","±5,678","5,564","±3,312","14.5%","±8.2","N","N","N","N","N","N","N","N","N","N","N","N","50,584","±3,367","4,809","±2,688","9.5%","±5.3","N","N","N","N","N","N","481,182","±6,227","114,283","±12,391","23.8%","±2.5","N","N","N","N","N","N","16,314","±1,514","3,400","±2,368","20.8%","±14.8","N","N","N","N","N","N","8,793","±1,367","731","±680","8.3%","±7.7","8,857","±1,742","1,032","±797","11.7%","±8.8"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23,863","±3,112","6,422","±4,415","26.9%","±16.8","N","N","N","N","N","N","6,271","±1,019","1,169","±956","18.6%","±15.0","9,715","±1,473","589","±436","6.1%","±4.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","25,604","±1,470","1,894","±1,007","7.4%","±4.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","35,940","±5,075","7,814","±2,896","21.7%","±7.4","N","N","N","N","N","N","9,437","±2,542","2,940","±1,583","31.2%","±15.0","8,004","±1,915","2,920","±1,443","36.5%","±14.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","16,461","±4,172","4,007","±2,629","24.3%","±14.1","N","N","N","N","N","N","37,704","±4,579","10,748","±3,787","28.5%","±9.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","4,097","±928","1,154","±618","28.2%","±14.0","9,581","±1,608","1,301","±883","13.6%","±9.3","N","N","N","N","N","N","60,737","±7,148","12,031","±4,684","19.8%","±6.8","N","N","N","N","N","N","23,634","±3,684","3,462","±1,368","14.6%","±5.6","39,075","±4,731","5,080","±1,731","13.0%","±4.1","4,205","±1,218","942","±494","22.4%","±11.6","8,131","±2,585","1,186","±1,355","14.6%","±15.8","33,295","±6,087","3,871","±2,099","11.6%","±6.3","N","N","N","N","N","N","N","N","N","N","N","N","29,290","±4,110","1,317","±887","4.5%","±2.9","5,659","±1,730","1,045","±762","18.5%","±14.7","44,585","±6,106","9,878","±3,060","22.2%","±6.0","7,710","±1,384","1,383","±517","17.9%","±6.2","10,686","±2,157","1,315","±799","12.3%","±7.8","9,178","±1,928","2,614","±1,159","28.5%","±10.5","N","N","N","N","N","N","11,374","±2,537","690","±516","6.1%","±4.2"
"        Hispanic or Latino origin (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70,831","±1,643","14,942","±3,061","21.1%","±4.2","N","N","N","N","N","N","23,151","±520","5,057","±1,644","21.8%","±7.1","23,523","±278","3,418","±1,563","14.5%","±6.6","N","N","N","N","N","N","N","N","N","N","N","N","24,426","±346","2,951","±2,082","12.1%","±8.5","N","N","N","N","N","N","N","N","N","N","N","N","32,985","±238","4,649","±2,919","14.1%","±8.8","N","N","N","N","N","N","62,306","±1,029","16,935","±3,964","27.2%","±6.3","N","N","N","N","N","N","11,858","±131","3,337","±1,669","28.1%","±14.1","5,349","±109","1,419","±1,012","26.5%","±19.0","N","N","N","N","N","N","N","N","N","N","N","N"
"        White alone, not Hispanic or Latino","66,840","±1,255","9,169","±2,194","13.7%","±3.2","121,666","±1,004","10,207","±2,489","8.4%","±2.0","88,140","±2,097","8,863","±2,940","10.1%","±3.3","380,942","±2,818","38,615","±5,348","10.1%","±1.4","63,459","±665","5,821","±1,593","9.2%","±2.5","247,122","±3,103","20,201","±3,550","8.2%","±1.4","381,547","±2,680","42,875","±4,517","11.2%","±1.2","51,505","±805","4,974","±1,650","9.7%","±3.2","79,748","±1,423","5,421","±1,933","6.8%","±2.4","134,995","±1,550","13,981","±3,991","10.4%","±3.0","68,005","±805","7,823","±2,159","11.5%","±3.2","59,706","±689","6,089","±2,357","10.2%","±4.0","230,663","±1,866","18,804","±4,560","8.2%","±2.0","85,261","±1,675","11,899","±3,562","14.0%","±4.1","309,416","±2,429","23,519","±3,781","7.6%","±1.2","144,643","±1,125","25,404","±3,702","17.6%","±2.6","161,351","±1,192","9,113","±2,102","5.6%","±1.3","112,774","±2,030","15,129","±3,152","13.4%","±2.8","209,975","±1,240","6,728","±2,301","3.2%","±1.1","122,021","±1,728","9,318","±3,012","7.6%","±2.5"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 25 years and over","54,376","±926","7,443","±1,426","13.7%","±2.6","98,056","±1,213","7,252","±1,714","7.4%","±1.7","75,117","±1,108","6,834","±2,015","9.1%","±2.7","488,294","±1,667","57,258","±5,465","11.7%","±1.1","51,016","±770","4,923","±1,175","9.6%","±2.3","255,066","±1,585","26,046","±3,395","10.2%","±1.3","326,324","±1,049","30,709","±3,435","9.4%","±1.1","65,060","±998","9,356","±1,724","14.4%","±2.7","72,627","±1,093","5,113","±1,487","7.0%","±2.1","140,455","±1,404","13,487","±3,207","9.6%","±2.3","52,268","±889","5,142","±1,524","9.8%","±2.9","50,596","±1,062","5,787","±2,025","11.4%","±4.0","224,584","±1,661","14,274","±2,970","6.4%","±1.3","70,604","±1,071","8,412","±2,290","11.9%","±3.2","602,652","±4,790","87,095","±7,257","14.5%","±1.2","116,025","±845","16,548","±2,520","14.3%","±2.2","138,583","±1,418","9,660","±2,178","7.0%","±1.6","92,123","±865","10,408","±1,921","11.3%","±2.1","167,475","±1,250","5,536","±1,586","3.3%","±0.9","104,341","±1,148","7,902","±2,488","7.6%","±2.4"
"            Less than high school graduate","4,232","±1,265","1,182","±732","27.9%","±14.6","9,470","±1,545","1,908","±830","20.1%","±7.4","9,387","±2,134","1,480","±791","15.8%","±7.6","46,440","±4,901","14,370","±3,668","30.9%","±6.2","5,405","±1,270","1,319","±570","24.4%","±9.0","23,178","±3,262","6,053","±1,556","26.1%","±6.0","23,423","±2,842","5,939","±1,044","25.4%","±3.9","5,923","±1,241","2,110","±840","35.6%","±12.1","4,388","±1,202","906","±558","20.6%","±12.0","8,132","±2,085","1,326","±656","16.3%","±7.4","5,641","±1,453","737","±368","13.1%","±6.8","5,675","±1,301","1,214","±666","21.4%","±11.4","16,037","±2,938","2,237","±901","13.9%","±5.6","9,318","±1,976","2,571","±1,429","27.6%","±12.9","61,021","±4,780","19,133","±2,584","31.4%","±4.0","13,664","±2,166","3,780","±1,228","27.7%","±7.8","11,979","±2,167","2,294","±797","19.2%","±6.8","6,522","±1,338","2,163","±926","33.2%","±12.0","6,138","±1,608","725","±562","11.8%","±9.1","5,590","±1,530","1,148","±607","20.5%","±10.0"
"            High school graduate (includes equivalency)","15,826","±1,959","2,964","±959","18.7%","±5.6","36,202","±2,807","2,692","±792","7.4%","±2.3","23,615","±2,836","2,065","±709","8.7%","±3.0","102,582","±5,319","16,649","±2,779","16.2%","±2.5","20,782","±2,030","2,233","±738","10.7%","±3.5","61,786","±3,850","11,090","±2,182","17.9%","±3.2","80,056","±5,198","10,670","±2,400","13.3%","±2.7","20,716","±2,094","3,852","±1,080","18.6%","±5.1","20,978","±3,066","2,959","±1,257","14.1%","±5.8","40,765","±4,512","4,184","±1,446","10.3%","±3.6","14,856","±1,950","1,629","±702","11.0%","±4.3","19,503","±1,929","2,418","±1,061","12.4%","±5.1","62,071","±4,526","6,319","±1,832","10.2%","±2.8","23,185","±2,415","3,240","±1,275","14.0%","±5.1","160,619","±6,842","34,350","±3,869","21.4%","±2.1","37,768","±3,081","7,304","±1,787","19.3%","±4.1","41,597","±3,423","3,811","±1,459","9.2%","±3.3","25,104","±2,500","3,898","±1,209","15.5%","±4.7","21,194","±3,142","1,081","±688","5.1%","±3.2","30,803","±3,795","3,683","±1,838","12.0%","±5.9"
"            Some college, associate's degree","19,064","±2,066","2,437","±968","12.8%","±4.8","27,405","±2,342","1,685","±676","6.1%","±2.4","25,879","±2,652","2,739","±1,396","10.6%","±4.9","109,842","±6,454","12,424","±2,159","11.3%","±1.9","13,958","±1,776","1,233","±704","8.8%","±4.9","77,140","±4,012","5,923","±1,451","7.7%","±1.9","90,393","±4,706","8,719","±1,882","9.6%","±2.0","19,103","±2,289","2,057","±694","10.8%","±3.6","27,834","±3,346","918","±599","3.3%","±2.1","51,727","±4,153","5,932","±1,777","11.5%","±3.5","15,983","±2,119","1,849","±1,021","11.6%","±6.1","14,598","±1,803","818","±465","5.6%","±3.1","61,793","±4,480","3,100","±1,311","5.0%","±2.1","24,464","±2,470","2,210","±1,177","9.0%","±4.7","171,797","±7,602","23,318","±4,314","13.6%","±2.4","35,764","±2,984","3,701","±1,120","10.3%","±3.0","43,294","±3,797","2,671","±987","6.2%","±2.3","27,943","±2,369","3,229","±1,035","11.6%","±3.6","36,091","±4,172","1,703","±768","4.7%","±2.0","28,638","±3,187","1,775","±880","6.2%","±2.9"
"            Bachelor's degree or higher","15,254","±1,807","860","±694","5.6%","±4.4","24,979","±2,320","967","±613","3.9%","±2.4","16,236","±2,780","550","±416","3.4%","±2.5","229,430","±6,904","13,815","±2,349","6.0%","±1.0","10,871","±1,922","138","±169","1.3%","±1.6","92,962","±4,440","2,980","±1,122","3.2%","±1.2","132,452","±5,654","5,381","±1,215","4.1%","±0.9","19,318","±2,383","1,337","±768","6.9%","±3.8","19,427","±2,635","330","±466","1.7%","±2.4","39,831","±4,387","2,045","±990","5.1%","±2.4","15,788","±2,133","927","±730","5.9%","±4.6","10,820","±1,990","1,337","±1,134","12.4%","±9.5","84,683","±4,719","2,618","±1,226","3.1%","±1.4","13,637","±2,165","391","±300","2.9%","±2.1","209,215","±7,738","10,294","±2,108","4.9%","±1.0","28,829","±2,697","1,763","±715","6.1%","±2.4","41,713","±3,264","884","±517","2.1%","±1.2","32,554","±2,851","1,118","±504","3.4%","±1.5","104,052","±5,072","2,027","±838","1.9%","±0.8","39,310","±3,453","1,296","±712","3.3%","±1.8"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","36,774","±2,008","3,052","±1,253","8.3%","±3.3","68,419","±2,300","3,724","±1,274","5.4%","±1.9","50,799","±2,625","2,823","±1,413","5.6%","±2.8","395,109","±7,306","31,272","±3,631","7.9%","±0.9","32,311","±2,033","1,831","±686","5.7%","±2.1","188,349","±4,834","13,023","±2,732","6.9%","±1.5","250,043","±5,917","15,706","±2,438","6.3%","±1.0","46,026","±2,091","4,148","±1,123","9.0%","±2.4","53,805","±2,484","2,470","±970","4.6%","±1.8","98,999","±3,870","7,669","±2,114","7.7%","±2.1","43,213","±2,060","3,210","±1,076","7.4%","±2.5","35,298","±1,974","1,930","±808","5.5%","±2.3","191,362","±3,924","10,792","±2,731","5.6%","±1.4","46,616","±2,344","4,068","±1,275","8.7%","±2.8","459,949","±9,041","44,435","±4,094","9.7%","±0.9","71,873","±2,999","6,251","±1,478","8.7%","±2.0","104,851","±3,003","5,354","±1,778","5.1%","±1.7","66,330","±3,231","6,892","±1,179","10.4%","±1.7","135,720","±3,676","2,263","±791","1.7%","±0.6","78,807","±2,513","2,976","±1,081","3.8%","±1.4"
"            Employed","34,137","±2,210","2,360","±965","6.9%","±2.8","66,711","±2,227","3,263","±1,184","4.9%","±1.8","46,781","±2,930","1,579","±731","3.4%","±1.6","378,698","±7,355","26,007","±3,406","6.9%","±0.9","30,381","±1,931","1,007","±533","3.3%","±1.7","178,737","±5,142","9,888","±2,032","5.5%","±1.2","238,968","±5,942","12,706","±1,953","5.3%","±0.8","43,422","±1,954","3,200","±1,028","7.4%","±2.4","52,175","±2,554","1,886","±826","3.6%","±1.6","94,558","±4,217","5,592","±1,722","5.9%","±1.8","41,333","±2,093","2,902","±1,063","7.0%","±2.6","33,495","±1,959","1,423","±674","4.2%","±2.0","184,434","±4,708","9,631","±2,573","5.2%","±1.4","44,313","±2,502","3,426","±1,123","7.7%","±2.5","423,314","±9,520","31,343","±3,208","7.4%","±0.8","66,711","±2,898","4,240","±1,243","6.4%","±1.9","99,746","±3,152","4,165","±1,295","4.2%","±1.3","62,543","±3,070","5,171","±1,208","8.3%","±1.9","132,191","±3,832","1,924","±771","1.5%","±0.6","74,674","±2,933","2,392","±958","3.2%","±1.3"
"                Male","18,377","±1,385","805","±462","4.4%","±2.5","36,427","±1,649","1,719","±994","4.7%","±2.7","24,583","±1,738","865","±606","3.5%","±2.5","197,740","±4,840","12,062","±2,150","6.1%","±1.1","17,082","±1,209","443","±344","2.6%","±1.9","93,951","±3,141","4,457","±1,275","4.7%","±1.4","124,501","±3,749","6,039","±1,468","4.9%","±1.2","20,156","±1,511","1,155","±499","5.7%","±2.5","28,834","±1,519","1,158","±702","4.0%","±2.4","46,971","±2,607","2,542","±1,263","5.4%","±2.6","22,360","±1,409","1,685","±865","7.5%","±3.8","18,546","±1,085","840","±521","4.5%","±2.8","99,299","±3,545","4,947","±1,626","5.0%","±1.6","23,568","±1,656","1,177","±523","5.0%","±2.2","213,287","±6,120","12,747","±1,989","6.0%","±0.9","34,545","±2,104","2,111","±829","6.1%","±2.4","51,951","±2,259","1,724","±671","3.3%","±1.3","31,000","±2,023","1,938","±758","6.3%","±2.4","71,381","±1,980","908","±436","1.3%","±0.6","41,331","±2,162","1,330","±833","3.2%","±2.0"
"                Female","15,760","±1,473","1,555","±758","9.9%","±4.8","30,284","±1,734","1,544","±693","5.1%","±2.3","22,198","±2,127","714","±422","3.2%","±1.9","180,958","±4,544","13,945","±2,432","7.7%","±1.3","13,299","±1,233","564","±327","4.2%","±2.5","84,786","±3,436","5,431","±1,391","6.4%","±1.7","114,467","±4,280","6,667","±1,336","5.8%","±1.2","23,266","±1,604","2,045","±820","8.8%","±3.5","23,341","±1,945","728","±381","3.1%","±1.6","47,587","±2,847","3,050","±1,167","6.4%","±2.4","18,973","±1,461","1,217","±564","6.4%","±3.0","14,949","±1,544","583","±441","3.9%","±2.9","85,135","±2,870","4,684","±1,703","5.5%","±2.0","20,745","±1,808","2,249","±1,079","10.8%","±5.0","210,027","±6,697","18,596","±2,678","8.9%","±1.3","32,166","±1,919","2,129","±863","6.6%","±2.6","47,795","±2,318","2,441","±1,001","5.1%","±2.1","31,543","±2,407","3,233","±1,070","10.2%","±3.1","60,810","±2,946","1,016","±534","1.7%","±0.9","33,343","±2,026","1,062","±605","3.2%","±1.8"
