"GEO_ID","id"
"B17001I_012M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years"
"B17001I_013E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years"
"B17001I_013M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years"
"B17001I_014E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years"
"B17001I_014M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years"
"B17001I_015E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years"
"B17001I_015M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years"
"B17001I_016E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over"
"B17001I_016M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over"
"B17001I_017E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17001I_017M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17001I_018E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years"
"B17001I_018M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years"
"B17001I_019E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years"
"B17001I_019M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years"
"B17001I_020E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years"
"B17001I_020M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years"
"B17001I_021E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years"
"B17001I_021M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years"
"B17001I_022E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years"
"B17001I_022M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years"
"B17001I_023E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years"
"B17001I_023M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years"
"B17001I_024E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years"
"B17001I_024M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years"
"B17001I_025E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years"
"B17001I_025M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years"
"B17001I_026E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years"
"B17001I_026M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years"
"B17001I_027E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years"
"B17001I_027M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years"
"B17001I_028E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years"
"B17001I_028M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years"
"B17001I_029E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years"
"B17001I_029M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years"
"B17001I_030E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over"
"B17001I_030M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over"
"B17001I_031E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"B17001I_031M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"B17001I_032E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17001I_032M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17001I_033E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years"
"B17001I_033M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years"
"B17001I_034E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years"
"B17001I_034M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years"
"B17001I_035E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years"
"B17001I_035M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years"
"B17001I_036E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years"
"B17001I_036M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years"
"B17001I_037E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years"
"B17001I_037M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years"
"B17001I_038E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years"
"B17001I_038M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years"
"B17001I_039E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years"
"B17001I_039M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years"
"B17001I_040E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years"
"B17001I_040M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years"
"B17001I_041E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years"
"B17001I_041M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years"
"B17001I_042E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years"
"B17001I_042M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years"
"B17001I_043E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years"
"B17001I_043M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years"
"B17001I_044E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years"
"B17001I_044M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years"
"B17001I_045E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over"
"B17001I_045M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over"
"B17001I_046E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17001I_046M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17001I_047E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years"
"B17001I_047M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years"
"B17001I_048E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years"
"B17001I_048M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years"
"B17001I_049E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years"
"B17001I_049M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years"
"B17001I_050E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years"
"B17001I_050M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years"
"B17001I_051E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years"
"B17001I_051M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years"
"B17001I_052E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years"
"B17001I_052M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years"
"B17001I_053E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years"
"B17001I_053M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years"
"B17001I_054E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years"
"B17001I_054M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years"
"B17001I_055E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years"
"B17001I_055M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years"
"B17001I_056E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years"
"B17001I_056M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years"
"B17001I_057E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years"
"B17001I_057M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years"
"B17001I_058E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years"
"B17001I_058M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years"
"B17001I_059E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over"
"B17001I_059M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over"
