"GEO_ID","id"
"B17001B_028M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years"
"B17001B_029E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years"
"B17001B_029M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years"
"B17001B_030E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over"
"B17001B_030M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over"
"B17001B_031E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"B17001B_031M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"B17001B_032E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17001B_032M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17001B_033E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years"
"B17001B_033M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years"
"B17001B_034E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years"
"B17001B_034M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years"
"B17001B_035E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years"
"B17001B_035M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years"
"B17001B_036E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years"
"B17001B_036M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years"
"B17001B_037E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years"
"B17001B_037M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years"
"B17001B_038E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years"
"B17001B_038M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years"
"B17001B_039E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years"
"B17001B_039M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years"
"B17001B_040E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years"
"B17001B_040M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years"
"B17001B_041E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years"
"B17001B_041M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years"
"B17001B_042E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years"
"B17001B_042M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years"
"B17001B_043E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years"
"B17001B_043M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years"
"B17001B_044E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years"
"B17001B_044M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years"
"B17001B_045E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over"
"B17001B_045M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over"
"B17001B_046E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17001B_046M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17001B_047E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years"
"B17001B_047M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years"
"B17001B_048E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years"
"B17001B_048M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years"
"B17001B_049E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years"
"B17001B_049M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years"
"B17001B_050E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years"
"B17001B_050M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years"
"B17001B_051E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years"
"B17001B_051M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years"
"B17001B_052E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years"
"B17001B_052M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years"
"B17001B_053E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years"
"B17001B_053M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years"
"B17001B_054E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years"
"B17001B_054M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years"
"B17001B_055E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years"
"B17001B_055M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years"
"B17001B_056E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years"
"B17001B_056M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years"
"B17001B_057E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years"
"B17001B_057M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years"
"B17001B_058E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years"
"B17001B_058M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years"
"B17001B_059E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over"
"B17001B_059M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over"
